bookID,bookTitle
77338,X Files #01 X Marks the Spot (X Files Middle Grade)
48727,X Files #08 Voltage (X Files Middle Grade)
143038,X Files Film Novel Spec Mkt
138247,X Files YA #12 Grotesque (X Files YA)
118040,X Men &amp; the Amazing Spider-Man: Savage Land
25354,"X-Day, Book 1"
25337,"X-Day, Book 2"
134740,X-Files Book of the Unexplained V1
77328,X-Files Confidential: The Unauthorized X-Philes Compendium
137449,X-Men
35501,X-Men 2: A Novelization
52042,X-Men Mutant Empire : Book 1 - Siege
22990,X-Men Planet X (Star Trek The Next Generation)
163823,X-Ray/the Unauthorized Autobiography: The Unauthorized Autobiography
206338,X-Raying the Pharaohs
13581,X/1999 : Intermezzo (X/1999)
13583,X/1999 : Overture (X/1999)
13584,X/1999 : Prelude (X/1999)
13580,X/1999 : Serenade (X/1999)
13582,X/1999 : Sonata (X/1999)
25343,"X/1999, Vol. 1, Prelude"
13578,"X/1999, Vol. 7: Rhapsody"
13577,"X/1999, Vol. 8: Crescendo"
13579,X/1999-Duet   (Book 6)
212320,XML Applications
74158,XML Web Documents From Scratch (From Scratch)
170183,XML for Dummies
28330,XPD
20825,XXX
28870,Xanadu
8717,Xanth 13: Isle of View
20767,Xanth 14: Question Quest
978,Xanth 15: The Color of Her Panties
15235,Xenocide (Ender Wiggins Saga (Paperback))
133879,Xenogenesis
177627,Xenos
230161,Xenosaga Official Strategy Guide
117354,Xenozoic Tales: After the End (Xenozoic Tales)
117350,Xenozoic Tales: The New World (Xenozoic Tales)
266257,Xml in Plain English (In Plain English (IDG))
29972,Xone of Contention : A Xanth Novel (Xanth)
194275,Xviie Siecle: Les Grands Auteurs Francais Du Programme
194014,Xxe Siecle (Collection littÃÂ©raire Lagarde et Michard)
