bookID,bookTitle
117670,Y a-t-il un docteur dans la salle?
19099,Y2K
67441,Y2K. Der letzte Tag. Der Roman der Jahrtausendwende.
165408,YAKETY YAK: MIDNIGHT CONFESSIONS AND REVELATIONS OF 37 ROCK STARS &amp; LEGENDS
205150,YEAR OF THE THREE KINGS
212788,YEARS OF CITY
213943,YESTERDAY SON
52426,"YESTERDAY, I CRIED : Celebrating the Lessons of Living and Loving"
7672,YOU BELONG TO ME
68710,YOU CAN IF YOU THINK YOU CAN
34069,"YOU JUST GLOW! AND OTHER LIES OF PREGNANCY, CHILDBIRTH, AND BEYOND"
21616,"YOU MEAN I'M NOT LAZY, STUPID OR CRAZY?!: A Self-help Book for Adults with Attention Deficit Disorder"
119040,YOUNGBLOOD HAWKE
154073,"YOUR PREGNANCY COMPANION:MONTH-BY-MONTH GD ALL U NEED KNOW BEFOR,DUR,AF"
254629,YOUVE GOT IT MADE
154780,Yak Butter &amp; Black Tea: A Journey into Tibet
94021,Yankee
59644,Yankee Doodle Dead (Death on Demand Mysteries (Paperback))
48642,"Yankee Doodle's Literary Sampler of Prose, Poetry, and Pictures/31449"
121493,Yankee Earl
149259,Yankee Mistress
75688,Yankee Wife
116922,Yankee from Georgia: The emergence of Jimmy Carter
246351,Yankele: A Holocaust Survivor's Bittersweet Memoir
46258,"Yanomamo, the Fierce People (American Problem Studies)"
37075,Yanqui Prince (Harlequin Super Romance No 597)
181071,Yarn Girls' Guide to Simple Knits
9388,Yarrow
107652,"Ye Booke of Monstres: New Nightmares for Call of Cthulhu (The Aniolowski Collection, Vol 1)"
29911,Yeager: An Autobiography
157004,Year 2000 in a Nutshell (Nutshell Handbook)
107049,Year What Life Was Like At the Turn
70703,Year Zero
127909,Year Zero
12272,Year of Impossible Goodbyes
5283,Year of Wonders
29078,Year of Wonders: A Novel of the Plague
4280,Year of the Griffin
223107,Year of the Horse
96947,Year's Best Fantasy and Horror
2049,Year's Best Fantasy and Horror: Sixteenth Edition
33347,Year's Best SF
114623,Year's Best SF 2
75200,Year's Best SF 3
75199,Year's Best SF 4
74857,Year's Best SF 5
9042,Year's Best SF 7
81896,Year's Best Science Fiction: Twentieth Annual Collection
75198,Year's Best Sf 6 (Year's Best SF (Science Fiction))
233222,Yearbook
149513,Yearning: Living Between How It Is and How It Ought to Be
56101,Years
171175,Years of Infamy: The Untold Story of America's Concentration Camps
191223,Yeast Connection Cookbook
2113,Yeats Is Dead! A Mystery by 15 Irish Writers
251570,Yee Haw
247868,"Yeeps!: Secrets in the Statue (Abracadabra!, Book 4)"
153018,Yellow Brick Road (Wonderful Wizard of Oz Pop-Ups Series)
194694,Yellow Dog (8 X 8)
65656,Yellow Dog Party (Thomas Black Mysteries)
156871,Yellowstone National Park: Land of Fire and Falling Water
157698,Yellowthread Street
42125,Yeltsin's Russia: Myths and Reality
42279,Yen
76678,Yerma
131989,Yertle the Turtle
235501,Yes
107467,"Yes I Can : The Story of Sammy Davis, Jr."
242087,"Yes, I Love You (First Little Golden Book)"
118024,"Yes, Mr Bronson: Memoirs of a Bum Actor"
131965,"Yes, No, Little Hippo (Magic Castle Readers Health and Safety)"
118027,"Yes, School's Out!"
190565,"Yes, You Can: One Thousand One Hundred Five Empowering Ideas for Life, Work &amp; Happiness"
19206,Yesh! Mutts Iv (Mutts)
91797,Yesterday
97390,Yesterday Comes Tomorrow  (Harlequin Big Summer Read)
16045,Yesterday I Cried : Celebrating The Lessons Of Living And Loving
216718,Yesterday and Forever (Time Passages Romance)
64904,"Yesterday'S Bride  (From Here To Paternity) (Harlequin Presents, No 1903)"
127976,Yesterday's Enemies (Five Star First Edition Women's Fiction Series)
219130,Yesterday's Gold
219064,Yesterday's Shadows
84394,"Yesterday, I Cried : Celebrating the Lessons of Living and Loving"
269911,"Yesterday, Today, and Forever"
67991,Yesterday: Photographs of the Beatles
217270,"Yesterdays Wedding (Harlequin Romance, No 3152)"
56472,Yesteryear
189706,Yhwh Is Not a Radio Station in Minneapolis: And Other Things Everyone Should Know
180333,Yiddish : A Nation of Words
227550,Yin Yoga
196499,Yminla?: An Angeleno Explains Life on the Left Coast to His Mother in Brooklyn (Why Am I in La a Pl8spk Book)
182051,Yo Mate a Kennedy
25513,Yo No Tengo LA Culpa De Haber Nacido Tan Sexy (Andanzas)
180816,Yo Venci LA Anorexia
17621,Yo!
221124,Yo! Diary!
196344,"Yo, Lucrecia Borgia (Personajes)"
71568,Yoga For Wimps: Poses for The Flexibly Impaired
188090,Yoga Week by Week
227562,"Yoga Zone Introduction to Yoga: A Beginner's Guide to Health, Fitness, and Relaxation"
170241,Yoga for Beginners
177593,Yoga for Busy People: Increase Energy and Reduce Stress in Minutes a Day
243401,Yoga for Cats
242016,Yoga:  The Iyengar Way
199838,Yoga: the Iyengar Way
216365,Yogi Bear and the Uojpbtcutpakic: Story
133842,"Yogi Bear: Yummy in My Tummy : A Pull-N-Peek Counting Book (Hanna-Barbera Cartoon Classics,)"
162442,Yogi: It Ain't over
41924,Yoko &amp; Friends
29571,Yon Ill Wind : A Xanth Novel (Xanth)
100857,"Yoo-Hoo, Little Rabbit! (Peek-a-Boo Books)"
254995,Yorkshire Villages: Travels Through Dales and Moors (Classic Country Companions)
74545,Yoruba of Southwestern Nigeria
129853,Yosemite and the Range of Light
176214,"Yossel : April 19, 1943"
19078,You Are My I Love You
43484,You Are Not What You Weigh: Escaping the Lie and Living the Truth (Inner Beauty Series)
11085,You Are Not a Stranger Here (Today Show Book Club #2)
15264,You Are Not a Stranger Here : Stories
121774,"You Are a Millionaire (Choose Your Own Adventure, No 98)"
87279,"You Are a Monster (Choose Your Own Adventure,, No 84)"
54715,"You Back the Attack, We'll Bomb Who We Want"
134767,You Be the Jury: Courtroom II (You Be the Jury)
148180,You Be the Jury: Courtroom V
2639,You Belong To Me
25988,You Belong to Me
154586,You Belong to Me
9461,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2)
140856,You Belong to My Heart (Harper Monogram)
79979,You Bet Your Life
84173,You Can Change Your Life: A Future Different from Your Past with the Hoffman Process
218915,You Can Draw Horses
58257,You Can Draw a Kangaroo
195332,You Can Get There from Here
42323,You Can Get There from Here
72918,You Can Go Jump (Follett Beginning-To-Read Book: Level One)
205527,You Can Heal Your Life
13712,You Can Heal Your Life/101
7326,You Can Save the Animals: 251 Ways to Stop Thoughtless Cruelty
448,You Can Surf the Net: Your Guide to the World of the Internet
208816,You Can Travel Free
76456,You Can Write Children's Books (You Can Write It Series)
32441,You Can't Catch Me
17989,You Can't Keep a Good Woman Down
112659,You Can't Put No Boogie-Woogie on the King of Rock and Roll
151357,You Can't Say Boobs On Sunday : The Second Collection Of The Syndicated Cartoon Stone Soup
14170,"You Can't Scare Me! (Goosebumps, No 15)"
131873,You Can't Take it With You.
791,You Cannot Be Serious
62957,You Cant Eat Peanuts In Church and Other L
197578,You Choose
180062,You Come Too
38173,You Come Too: Favorite Poems for Young Readers
257731,"You Don't Have to Be Crazy to Work Here, but It Helps"
